TITRE_FICHE,LIEN_ALIEXPRESS,PRIX_ACHAT_EUR,VENDU_ALIEXPRESS,PRIX_VENTE_ETSY,MARGE_EUR,SUIVI_CONFIRME
"Mini bas de Noël personnalisés avec noms, bas de Noël tricot",https://www.aliexpress.com/item/1005010245726495.html,3.09,,8.99,3.00,A_CONFIRMER
1 pièces nom personnalisé tricoté bas de noël pour enfants f,https://www.aliexpress.com/item/1005010245908836.html,3.79,,10.99,4.10,A_CONFIRMER
"Chaussettes de Noël en tricot avec lettres de l'alphabet, dé",https://www.aliexpress.com/item/1005009711495818.html,3.99,,11.99,4.80,A_CONFIRMER
"Bas de noël personnalisé brodé, motif flocon de neige, chaus",https://www.aliexpress.com/item/1005010265353685.html,5.59,,16.99,7.70,A_CONFIRMER
"Chaussettes de Noël personnalisées en toile de jute beige, d",https://www.aliexpress.com/item/1005012941932002.html,5.99,,17.99,8.20,A_CONFIRMER
"Bas de Noël brodés personnalisés, bas de monogramme, tricoté",https://www.aliexpress.com/item/1005007183549876.html,6.99,,20.99,9.90,A_CONFIRMER
"Chaussettes de Noël à griffes, ornements de Noël, chaussette",https://www.aliexpress.com/item/1005012544979281.html,7.29,,21.99,10.50,A_CONFIRMER
Un bas de Noël vintage personnalisé avec nom brodé et lettre,https://www.aliexpress.com/item/1005010242140679.html,12.29,,36.99,19.00,A_CONFIRMER
"Un bas de Noël personnalisé vintage avec nom brodé, sac cade",https://www.aliexpress.com/item/1005010148844332.html,12.89,,38.99,20.20,A_CONFIRMER
"Chaussette de Noël en tricot torsadé brodée sur mesure, chau",https://www.aliexpress.com/item/1005012924844410.html,12.99,,38.99,20.10,A_CONFIRMER
