TITRE_FICHE,LIEN_ALIEXPRESS,PRIX_ACHAT_EUR,ENVOI_SUIVI_EUR,PRIX_VENTE_ETSY,MARGE_EUR,VENDU_ALIEXPRESS,SUIVI_CONFIRME,DELAI_LIVRAISON
Gothic Skull Vase 3D Resin Flower Holder - Halloween Gothic Decore,https://fr.aliexpress.com/item/1005011854630196.html,10.19,2.00,32.99,17.50,2111,A VALIDER,A VALIDER
Grim Reaper Statue Sitting - Gothic Halloween Decore Figurine,https://fr.aliexpress.com/item/1005012776726174.html,8.89,2.00,29.99,16.10,517,A VALIDER,A VALIDER
Gothic Demon Hand Resin Statue - Halloween Gothic Decore Art,https://fr.aliexpress.com/item/1005010449718368.html,9.79,2.00,29.99,15.20,1142,A VALIDER,A VALIDER
Realistic Black Crows Set - Gothic Halloween Decore Ravens,https://fr.aliexpress.com/item/1005007580017478.html,9.79,2.00,29.99,15.20,1000,A VALIDER,A VALIDER
Realistic Human Skull - Gothic Halloween Decore Table Centerpiece,https://fr.aliexpress.com/item/1005009023770863.html,7.29,2.00,24.99,13.20,1000,A VALIDER,A VALIDER
Gothic Queen Statue Black Robe - Halloween Gothic Decore Shelf Decor,https://fr.aliexpress.com/item/1005009785243802.html,4.09,2.00,19.99,11.90,600,A VALIDER,A VALIDER
Rock Punk Skull Couple Statue - Gothic Halloween Decore Desk Ornament,https://fr.aliexpress.com/item/1005012619993040.html,6.19,2.00,21.99,11.60,525,A VALIDER,A VALIDER
Vintage Brass Skull Statue 3 Layers - Gothic Halloween Decore Miniature,https://fr.aliexpress.com/item/1005011823744187.html,3.89,2.00,17.99,10.30,729,A VALIDER,A VALIDER
Black Crow Skull Statue - Gothic Halloween Decore Raven Sculpture,https://fr.aliexpress.com/item/1005012809574447.html,5.79,2.00,19.99,10.20,516,A VALIDER,A VALIDER
Gothic Crow Statue 3D Printed - Halloween Gothic Decore Raven Model,https://fr.aliexpress.com/item/1005012103545856.html,2.15,2.00,14.99,9.34,242,A VALIDER,A VALIDER
